RU	ING
«Нельзя, – отвечала старуха, – это сааз моего несчастного сына, вот уже семь лет он висит на стене, и ничья живая рука до него не дотрогивалась».	Гогора а вежа, . *'РЁ„“ ‘ аьлар цо:— „Бехке ва со, Ама, кхозза ё о ® к) СС ВВРОЛОС РЕ ао бехке ва хьа гГулакхча Ашик-Кериб; г н ЛЕНЕ ОСА ИЕ цхьабакъда, хьона хьайна ма хой, Турра оНЫ денз: харцле лаьрх1а вола саг, сарралца ше 9 )ОВ оее харцле везалга.
Но сестра его встала, сняла со стены сааз и отдала ему: тогда он поднял глаза к небу и сотворил такую молитву: «О всемогущий аллах1	Бокъонцадар аьлча, са ° .
Если я должен достигнуть до желаемой цели, то мой семиструнный сааз будет так же стройна, как в тот день, когда я в последний раз играл на ней».	Бокъонцадар аьлча, са ° .
И он ударил по медным струнам, и струны согласно заговорили; и он начал петь: «Я бедный Кериб (нищий) – и слова мои бедны; но великий Хадерилияз помог мне спуститься с крутого утёса, хотя я беден и бедны слова мои.	ДоРол ба а ае х ) МО Гуржег1а ваха ма везар“.——“Даьллахьий : = д на ЭОО Я ма харц лувш саг ва хьо1— аьлар Щим- МВОУООНСНО ОНЕ РНА Н КЕУ ТОНЕа Я НЕ ЛОН Ы ОЫ хара ‘ баьречо, — х1аьта а, де х1ама дац, аз гешт ду хьона.
Узнай меня, мать, своего странника».	ДоРол ба а ае х ) МО Гуржег1а ваха ма везар“.——“Даьллахьий : = д на ЭОО Я ма харц лувш саг ва хьо1— аьлар Щим- МВОУООНСНО ОНЕ РНА Н КЕУ ТОНЕа Я НЕ ЛОН Ы ОЫ хара ‘ баьречо, — х1аьта а, де х1ама дац, аз гешт ду хьона.
После этого мать его зарыдала и спрашивает его: «Как тебя зовут?» «Рашид» (храбрый), – отвечал он.	Д1ав1ашта дахка б1ар- ‘ 1 ы ; таш, х1анз хьалакха“,— аьлар цо цхьа кулгаца ни1 еттар цо: „Ана, ана*, хьае- минут яьннача гТолла.— Сов гГадвахача лла ни11 со даьла хьаша ва, шийла а- Ашикага щог1а ийккхар: Гуржег1ен на а- меца а волаш; хьай наькъа араваьнна рашта юххе бар уж.
«Раз говори, другой раз слушай, Рашид, – сказала она, – своими речами ты изрезал сердце моё в куски.	ЧЮюагпа дег т1ера лелача ви1ий духьа чувита со“.
Нынешнюю ночь я во сне видела, что на голове моей волосы побелели, – а вот уж семь лет я ослепла от слёз; скажи мне ты, который имеешь его голос, когда мой сын придёт?» И дважды со слезами она повторила ему просьбу.	ЧЮюагпа дег т1ера лелача ви1ий духьа чувита со“.
Напрасно он называл себя её сыном, но она не верила, и спустя несколько времени просит он: «Позвольте, матушка, взять сааз и идти, я слышал, здесь близко есть свадьба: сестра меня проводит; я буду петь и играть, и всё, что получу, принесу сюда и разделю с вами».	Иоккха- баркал а аьнна, нувра т ара ший т юрми ча сега г ийлача ашаро юха жоп делар хьа а ийца, Ашик-Кериба аьлар баьре- цунна: „Наькъахошта бийса яккха щ1е- чунга:— “Аг1а, Та даьр, дувца хабар доа- нош да б1аьхибарий, низбарий; х1анз го- цаш, доккха дика да, цхьабакъда, кхы роде ловзараш да; цига г1о хьайна1
«Не позволю, – отвечала старуха, – с тех пор, как нет моего сына, его сааз не выходил из дому».	Иоккха- баркал а аьнна, нувра т ара ший т юрми ча сега г ийлача ашаро юха жоп делар хьа а ийца, Ашик-Кериба аьлар баьре- цунна: „Наькъахошта бийса яккха щ1е- чунга:— “Аг1а, Та даьр, дувца хабар доа- нош да б1аьхибарий, низбарий; х1анз го- цаш, доккха дика да, цхьабакъда, кхы роде ловзараш да; цига г1о хьайна1
Но он стал клясться, что не повредит ни одной струны.	Сирача дына лакхаш де раьза Йолаш я хьо, хГана барга к1алхара лаьттан гарза хьалъийцар аьлча ворх1 шу д1адаьннад со, сов дукха Ашика; цхьабакъда, цо корта хьалъай- НИЛКа, ёіаргаш Ч яг1ийса*. — ? * я ы Х1аьта а йо1о, цо шийна еча 1Тувттараш- бешшехь а— баьрии дыи къайлалийлхар. ка ла а ца дувМаш, хьал а гпаттаь, ни1 "аккха ший дагахь соцадир цо, из ший- хьа а йийлла, чувитар Ашик-Кериб.
«А если хоть одна струна порвётся, – продолжал Ашик, – то отвечаю моим имуществом».	Сирача дына лакхаш де раьза Йолаш я хьо, хГана барга к1алхара лаьттан гарза хьалъийцар аьлча ворх1 шу д1адаьннад со, сов дукха Ашика; цхьабакъда, цо корта хьалъай- НИЛКа, ёіаргаш Ч яг1ийса*. — ? * я ы Х1аьта а йо1о, цо шийна еча 1Тувттараш- бешшехь а— баьрии дыи къайлалийлхар. ка ла а ца дувМаш, хьал а гпаттаь, ни1 "аккха ший дагахь соцадир цо, из ший- хьа а йийлла, чувитар Ашик-Кериб.
Старуха ощупала его сумы и, узнав, что они наполнены монетами, отпустила его; проводив его до богатого дома, где шумел свадебный пир, сестра осталась у дверей слушать, что будет.	Вала на г10 даьр Хадерилиаз вар, аьнна. веззача бесса моаршалца щаг1а д1ачу а Геттара садайначул т1ехьаг1а хьале- хар Ашик-Кериба ший ща.
В этом доме жила Магуль-Мегери, и в эту ночь она должна была сделаться женою Куршуд-бека.	Вала на г10 даьр Хадерилиаз вар, аьнна. веззача бесса моаршалца щаг1а д1ачу а Геттара садайначул т1ехьаг1а хьале- хар Ашик-Кериба ший ща.
Куршуд-бек пировал с родными и друзьями, а Магуль-Мегери, сидя за богатою чапрой (занавес) с своими подругами, держала в одной руке чашу с ядом, а в другой острый кинжал: она поклялась умереть прежде, чем опустит голову на ложе Куршуд-бека.	Ка эгача РО ваьнна, шийна чухь сатем боаццаш д/а- хьал а хьажаь ду1а дир цо: „Ва низ кхоачаш са хьежа ваьлар из.
И слышит она из-за чапры , что пришел незнакомец, который говорил: «Селям алейкюм: вы здесь веселитесь и пируете, так позвольте мне, бедному страннику, сесть с вами, и за то я спою вам песню».	Т1аккха сигленга сНЕ ИН, Мелла ше цун во1 ва укхо яьхача а, тешанзар из укхунах.
«Почему же нет, – сказал Куршуд-бек. – Сюда должны быть впускаемы песельники и плясуны, потому что здесь свадьба: спой же что-нибудь, Ашик (певец), и я отпущу тебя с полной горстью золота».	Т1аккха сигленга сНЕ ИН, Мелла ше цун во1 ва укхо яьхача а, тешанзар из укхунах.
Тогда Куршуд-бек спросил его: «А как тебя зовут, путник?» – «Шинди-гёрурсез (скоро узнаете)».	Ёі' = ; ; „ХГаьта нагахьа санна царех цхьа пха 399› Ва ( хаде а,— аьлар д11ахо Ашика, се да во- о Ч : лж лаш дола рузкъа д1алург мад аз цунах“. — — ’?› з щ „4;‘”* в— Иоккхача саго укхун тормех кулг а Ла аи теха, из ахчах биза болга а хайна, д1а- /1 382 ЧТ“’МЁ ‚; бахьийтар пандар.
«Что это за имя, – воскликнул тот со смехом. – Я в первый раз такое слышу1»...	Ёі' = ; ; „ХГаьта нагахьа санна царех цхьа пха 399› Ва ( хаде а,— аьлар д11ахо Ашика, се да во- о Ч : лж лаш дола рузкъа д1алург мад аз цунах“. — — ’?› з щ „4;‘”* в— Иоккхача саго укхун тормех кулг а Ла аи теха, из ахчах биза болга а хайна, д1а- /1 382 ЧТ“’МЁ ‚; бахьийтар пандар.
После этого он взял сааз и начал петь.	Доккхача татаца лов- і’ Ир оОН ’* Ё зари хьоалчаг еи даь долча, даьхийча - мР, АВИ ? э п щенга кхаччалца из д анакъа а ваьккха, : ” ;‚ аи Ф на1арга юхасецар йиша, цига фу хул ыИ кЗа мо хьажа, ладувг1а.
«В городе Халафе я пил мисирское вино, но бог мне дал крылья, и я прилетел сюда в три дни».	Доккхача татаца лов- і’ Ир оОН ’* Ё зари хьоалчаг еи даь долча, даьхийча - мР, АВИ ? э п щенга кхаччалца из д анакъа а ваьккха, : ” ;‚ аи Ф на1арга юхасецар йиша, цига фу хул ыИ кЗа мо хьажа, ладувг1а.
Чапра – занавес.	ЛАИ оана Цю таккха Ашик-Кериба юха а илли аьлар: га техар вокхо, вела а вента,“—соЁ: „уйра ламаз дир аз Арзиньяна ата- Эара хьа.:ё ха Х '‚" бтаипа т :'а„ а" ‚ га, делкъа ламаз дир аз Арзерум яхача аНЕИ д'е РЕЬ городе; малхбуза ламаз дир аз Къарс хана, дуккхача лоалахоша наГарга а ухаш яхача городе, маьриижа ламаз дир аз — Чре та ЕС Гуржег1а.
Брат Куршуд-бека, человек малоумный, выхватил кинжал, воскликнув: «Ты лжёшь; как можно из Халафа приехать сюда в три дни?	ЛАИ оана Цю таккха Ашик-Кериба юха а илли аьлар: га техар вокхо, вела а вента,“—соЁ: „уйра ламаз дир аз Арзиньяна ата- Эара хьа.:ё ха Х '‚" бтаипа т :'а„ а" ‚ га, делкъа ламаз дир аз Арзерум яхача аНЕИ д'е РЕЬ городе; малхбуза ламаз дир аз Къарс хана, дуккхача лоалахоша наГарга а ухаш яхача городе, маьриижа ламаз дир аз — Чре та ЕС Гуржег1а.
«За что ж ты меня хочешь убить, – сказал Ашик, – певцы обыкновенно со всех четырёх сторон собираются в одно место; и я с вас ничего не беру, верьте мне или не верьте». – Пускай продолжает, – сказал жених, и Ашик-Кериб запел снова: «Утренний намаз творил я в Арзиньянской долине, полуденный намаз в городе Арзруме; пред захождением солнца творил намаз в городе Карсе, а вечерний намаз в Тифлизе.	Аллах1о ткъамаш а денна, * Шинди-гёрурсез — кастта ховргда шоана. я ' ткъамашца укхаза хьавера со; сирача : дынна хьалхара саг1а хилва со.
Аллах дал мне крылья, и я прилетел сюда; дай бог, чтоб я стал жертвою белого коня, он скакал быстро, как плясун по канату, с горы в ущелья, из ущелья на гору: Маулям (создатель) дал Ашику крылья, и он прилетел на свадьбу Магуль-Мегери».	Цига г олла д а 1
Тогда Магуль-Мегери, узнав его голос, бросила яд в одну сторону, а кинжал в другую: «Так-то ты сдержала свою клятву, – сказали её подруги, – стало быть, сегодня ночью ты будешь женою Куршуд-бека».	Цига г олла д а 1
«Вы не узнали, а я узнала милый мне голос», – отвечала Магуль-Мегери; и, взяв ножницы, она прорезала чапру.	ЗЬ *гд "_ё Ч а хьажаь ший Ашик-Кериб шийна вай- ОО ж “ ‚і›з Ё я зачул т ехьаг1а, мухь а теха, яха цунна ь в*‘ '„і' ’»„;ЁЁ;_*ЖЁ;Ё ‚ фоартах качхьаьрчар из, т аккха шак- *Ё у „‹ „‹:* ‘*‘ кхе а дог к аьд а денна, Тодежар.
Когда же посмотрела и точно узнала своего Ашик-Кериба, то вскрикнула; бросилась к нему на шею, и оба упали без чувств.	ЗЬ *гд "_ё Ч а хьажаь ший Ашик-Кериб шийна вай- ОО ж “ ‚і›з Ё я зачул т ехьаг1а, мухь а теха, яха цунна ь в*‘ '„і' ’»„;ЁЁ;_*ЖЁ;Ё ‚ фоартах качхьаьрчар из, т аккха шак- *Ё у „‹ „‹:* ‘*‘ кхе а дог к аьд а денна, Тодежар.
Брат Куршуд-бека бросился на них с кинжалом, намереваясь заколоть обоих, но Куршуд-бек остановил его, примолвив: «Успокойся и знай: что написано у человека на лбу при его рождении, того он не минует».	Цул кулгашца юхь къайла а яьккха, кхол- „1ехьаг1а цун дешаех шеквала йиш Йо- лара т1ехьашка лечкъар. лаш саг хиланзар, кхы Йист ца хулаш „Х1анз бокъонца гуш да хьо Ашик- Куршуд-бека д1аелар цунна хоза Магуль- Кериб хилар,— аьлар маро, — цхьабакъда, Мегери. хьадувца тхона селлара лоацача хана Т1аккха — г1адвахача — Ашик-Кериба иззал б1аьха никъ бе мишта торделар аьлар цунга: „Ладувг11ал, Куршуд-бек, хьона?“ — „Из бакъ хилар д1ахайтарна, — аз сатем бергба хьона1
Придя в чувства, Магуль-Мегери покраснела от стыда, закрыла лицо рукою и спряталась за чапру.	Цул кулгашца юхь къайла а яьккха, кхол- „1ехьаг1а цун дешаех шеквала йиш Йо- лара т1ехьашка лечкъар. лаш саг хиланзар, кхы Йист ца хулаш „Х1анз бокъонца гуш да хьо Ашик- Куршуд-бека д1аелар цунна хоза Магуль- Кериб хилар,— аьлар маро, — цхьабакъда, Мегери. хьадувца тхона селлара лоацача хана Т1аккха — г1адвахача — Ашик-Кериба иззал б1аьха никъ бе мишта торделар аьлар цунга: „Ладувг11ал, Куршуд-бек, хьона?“ — „Из бакъ хилар д1ахайтарна, — аз сатем бергба хьона1
«Теперь точно видно, что ты Ашик-Кериб, – сказал жених, – но поведай, как же ты мог в такое короткое время проехать такое великое пространство?» В доказательство истины отвечал Ашик: «Сабля моя перерубит камень, если же я лгу, то да будет шея моя тоньше волоска; но лучше всего приведите мне слепую, которая бы семь лет уж не видала свету божьего, и я возвращу ей зрение».	Н №"№а/ °Д Кулг а лаьца, цу ловзарга д1айигар цо Н У АМ _3_‚ * йоккха саг.
Сестра Ашик-Кериба, стоявшая у двери и услышав такую речь, побежала к матери.	Слано в мабор 84Х 1958 г — Подписано к печати 20.Х 1958 г Г.
«Матушка1 – закричала она, – Это точно брат и точно твой сын Ашик-Кериб».	Слано в мабор 84Х 1958 г — Подписано к печати 20.Х 1958 г Г.
И, взяв её под-руку, привела старуху на пир свадебный.	Формат 60х84, — Объем 1,75 (1,44) п. л.
Тогда Ашик взял комок земли из-за пазухи, развёл его водою и намазал матери глаза, примолвив: «Знайте все люди, как могущ и велик Хадрилиаз».	Формат 60х84, — Объем 1,75 (1,44) п. л.
И мать его прозрела.	1,8. "Тираж 2000, Чечено-Ингушское книжное излательство, Грозный, 21, улица Ленина, 14.
После того никто не смел сомневаться в истине слов его, и Куршуд-бек уступил ему безмолвно прекрасную Магуль-Мегери.	1,8. "Тираж 2000, Чечено-Ингушское книжное излательство, Грозный, 21, улица Ленина, 14.
Тогда в радости Ашик-Кериб сказал ему: «Послушай, Куршуд-бек, я тебя утешу: сестра моя не хуже твоей прежней невесты, я богат: у ней будет не менее серебра и золота; итак возьми её за себя – и будьте так же счастливы, как я с моей дорогою Магуль-Мегери».	Заказ № 5575, Типография имени 1 августа 1918 голау Грозный, проспект Революции, 30/3.
Намаз – обязательная ежедневная пятикратная молитва у мусульман.	Заказ № 5575, Типография имени 1 августа 1918 голау Грозный, проспект Революции, 30/3.
