# RU	ING
чтоб я стал жертвою белого коня	д1абахьийтар пандар.
он скакал быстро	Доккхача татаца ловзари хьоалчаг11еи даь долча, д1аьхийча щенга кхаччалца из д1анакъа а ваьккха, на1арга юхасецар йиша,` цига фу хул хьажа, ладувг1а.
как плясун по канату	Куршуд-бек ший гаргарча нахацеи доттаг1ашцеи дика хьегаш вар, х1аьта Ма22,
с горы в ущелья	хийтта хиннад: во1 веннав цунна, й01 еннай цунна дала?— яхаш.
из ущелья на гору: Маулям (создатель) дал Ашику крылья	Царга юхаоалаш хиннад „шинди-гёрурсез“.
и он прилетел на свадьбу Магуль-Мегери».	Цудухьа со ваьчул т1ехьаг1а сох тиллай из Щи“.
Тогда Магуль-Мегери	Цул т1ехьаг1а сааз хьа а ийца, илли ала волавелар из: „Халаф яхача городе мисирара чхьагар мийннад аз, цхьабакъда, дала ткъамаш а денна, кхаь — дийнахь — укхаза вера со“.
узнав его голос	Дукха хьаькъала да а воацаш волча Куршуд-бека вошас шалта хьал а яьккха цщюг1а техар:—“Харц лув хьо1 мишта кхоачаргва Халафера укхаза кхаь дийнахь?“.
бросила яд в одну сторону	„Сендухьа г[ерт хьо со ве,— аьлар
а кинжал в другую: «Так-то ты сдержала свою клятву, – сказали её подруги, – стало быть	Ашика, — иллеш доаха нах массаза а дунен йиъэ а ми1ингера цхьан метте гуллуш Таьдал да
сегодня ночью ты будешь женою Куршуд-бека».	шугара эцаш х1ама а дац са, — шу теше а ца теше а“.
«Вы не узнали, а я узнала милый мне голос», – отвечала Магуль-Мегери; и, взяв ножницы, она прорезала чапру.	„Д1ахо — алийта“, — аьлар — маро, — т1аккха
Когда же посмотрела и точно узнала своего Ашик-Кериба, то вскрикнула; бросилась к нему на шею, и оба упали без чувств.	Ашик-Кериба юха а илли аьлар:
Брат Куршуд-бека бросился на них с кинжалом	„1уйра ламаз дир аз
намереваясь заколоть обоих	Арзиньяна атаг1а, делкъа ламаз дир аз Арзерум яхача городе; малхбуза ламаз дир аз Къарс яхача городе, маьрк1ижа ламаз дир аз — Гуржег1а.
но Куршуд-бек остановил его	Аллах1о ткъамаш а денна
примолвив: «Успокойся и знай: что написано у человека на лбу при его рождении	туль-Мегери — безача ‘маьха — кхоллара т1ехьашка ший — новкъосташца — яг1ар
того он не минует».	цхьан бе дохьажа кади вокх бе ира шалтеи йоаллаш: цо дув биабар ший корта Куршуд-бека метта Гюбужабалехьа яла
Придя в чувства, Магуль-Мегери покраснела от стыда, закрыла лицо рукою и спряталась за чапру.	Цу ‘кхоллара т1ехьашка ягаш
«Теперь точно видно	цхьа малав ца ховш вола саг щЩаг1а чу а ваьнна цо оалаш хезар цунна: „Ассалам 1алайкум1 шу укхаза сакъердаш
что ты Ашик-Кериб, – сказал жених, – но поведай	дика хьегаш ма доахкий
как же ты мог в такое короткое время проехать такое великое пространство?» В доказательство истины отвечал Ашик: «Сабля моя перерубит камень	со къеча наькъахочунна а пурам да шоашца Гоха
если же я лгу	цудухьа аз илли а аргда шоана“.—“Хана лиц хьона — пурам?— аьлар —
то да будет шея моя тоньше волоска	Укхаза чубахкийта безаш ма бий илли оалараш, халхархой, х1ана аьлча укхаза саг йоаг1а моттиг я
но лучше всего приведите мне слепую, которая бы семь лет уж не видала свету божьего, и я возвращу ей зрение».	моллаг11а аьле а илли ала Ашик
Сестра Ашик-Кериба, стоявшая у двери и услышав такую речь, побежала к матери.	водача хана аз коана Йизза дошув а ийца вохийтаргва хьо“. `Чаккха Куршуд-бека хаьттар цунга:— „И фуй хьа
«Матушка1 – закричала она, – Это точно брат и точно твой сын Ашик-Кериб».	наькъахо?“ — „Шиндигёрурсез “— „Са нана сох йолаш
И, взяв её под-руку, привела старуху на пир свадебный.	из бер де хьайзаьча хана
Тогда Ашик взял комок земли из-за пазухи, развёл его водою и намазал матери глаза, примолвив: «Знайте все люди, как могущ и велик Хадрилиаз».	дуккхача лоалахоша на1арга а ухаш * Шинди-гёрурсез — кастта ховргда шоана,
И мать его прозрела.	ткъамашца укхаза хьавера со; сирача дынна хьалхара саг1[а хилва со.
После того никто не смел сомневаться в истине слов его, и Куршуд-бек уступил ему безмолвно прекрасную Магуль-Мегери.	Муша т[а ловзача пелхьал массаг1а. удар из лоам. т1ара ч1ожа а ч1ожара лоам та а.
Тогда в радости Ашик-Кериб сказал ему: «Послушай	Таккха Магуль-Мегере, цун гар яйза а яйза, цхьан оаг1орахьа дохьажи вокх оаг1орахьа — шалтеи — д1акхессар. — „Ма ч1оаг1а чакхбаьккхар 1а Тайха биа дув1— аьлар цунга ший новкъосташа: — тховсава
Куршуд-бек, я тебя утешу: сестра моя не хуже твоей прежней невесты, я богат: у ней будет не менее серебра и золота	Курщуд-бека сесаг хургья-кх хьох х1аьта“.
итак возьми её за себя – и будьте так же счастливы, как я с моей дорогою Магуль-Мегери».	„Шоана йовзанзар, сона яйзар сайна дукха езаш йола гТар“,— аьлар
Намаз – обязательная ежедневная пятикратная молитва у мусульман.	Магуль-Мегере, т1аккха к1од хьа а ийца, кхоллар доатт1адир цо.
