# RU	ING
В невыразимой тоске упала мать на одежды любимого сына и стала обливать их жаркими слезами	из ха яьлча са хургья хьо. — ийца хехка Гуржег1а юхавахар;
потом взяла их и понесла к наречённой невестке своей	цхьабакъда
«Мой сын утонул, – сказала она ей, – Куршуд-бек привёз его одежды; ты свободна».	цо аьлар
Магуль-Мегери улыбнулась и отвечала: «Не верь, это всё выдумки Куршуд-бека; прежде истечения семи лет никто не будет моим мужем».	т1ехьа цу шаьрча ара
Она взяла со стены свой сааз и спокойно начала петь любимую песню бедного Ашик-Кериба.	б1ехал санна хьувцу Тайха диллаьча дийнахь хьо ща ца заш г1етташ бола дом мара х1ама гацар. воаг1е, — со Куршуд-бекага маьре г1оргья
Между тем странник пришёл бос и наг в одну деревню	Гуржег11а ше д1а ма кхаьчча а Ашик-Ке-` со еха Г]ВРТЗ дуккха ха а йолаш волча. риба барзкъаш а ийца, цун къаенна нана Чувера Ашик-кериб ший нана йолча, йолча вахар бек.
добрые люди одели его и накормили	„Хьа во1 кТоаргача хишийна наькъа цунга ловца а баккхий- ла ваха вёлар, — аьлар цо,— ераш да цун
он за это пел им чудные песни	барзкъаш“.
таким образом переходил он из деревни в деревню, из города в город: и слава его разнеслась повсюду.	Шийна дукха везаш волча ви1ий барзкъашта, дувца йиш йоацаш йолча йоккхача гГайг1анца Гют11аежа, ший б1аргех Гоуха д1айха хий легадир цо цар т1а.
Прибыл он наконец в Халаф ; по обыкновению взошёл в кофейный дом, спросил сааз и стал петь.	Паккха уж барзкъаш а ийца, шИЙ нус Магуль-Мегери йолча яхар из.
В это время жил в Халафе паша , большой охотник до песельников	„Са во1 хила ваха веннав, — аьлар цо цунга, —
многих к нему приводили – ни один ему не понравился	Курщуд-бека ща денад цун барзкъаш; хьо мукъа я“.
его чауши измучились, бегая по городу: вдруг, проходя мимо кофейного дома, слышат удивительный голос	Магуль-Мегере, ела а къежаь, аьлар:— “Теша ма тешалахь; из деррига а
они туда.	Куршуд-бека шийгара дагалаьца х1ама да
«Иди с нами, к великому паше, – закричали они, – или ты отвечаешь нам головою».	ворх1 шу даьнна даллалца цхьаккха саг а хургвац са мар.“— Пенах хьалъулла ший сааз хьа а ийца
«Я человек вольный, странник из города Ага – господин.	къеча Ашик-Кериба дукха дезаш хинна илли ала йолаелар из сатийнна. ‚° — Циггара ваьнна наькъахо кхаьчар
Бек – властитель, князь, господин.	дег1а та а когаш 11а а верзан а волаш
Тифлиза, – говорит Ашик-Кериб, – хочу пойду, хочу нет; пою, когда придется, – и ваш паша мне не начальник».	цхьан юрта.
Однако, несмотря на то, его схватили и привели к паше.	Дикача наха барзкъа а дийхар цунна, кхаба а кхаьбар из, цудухьа цо царна тамашийна хоза иллеш доахар.
«Пой», – сказал паша, и он запел.	Иштта юртара-юрта а, городера-городе а водаш лелар из; массанахьа а гГорваьннавар из.
И в этой песне он славил свою дорогую Магуль-Мегери; и эта песня так понравилась гордому паше, что он оставил у себя бедного Ашик-Кериба.	Эггара т1ехьа а Халафе кхаьчар из.
Посыпалось к нему серебро и золото, заблистали на нём богатые одежды	Массаза а ший Таьдал долчча бесса, кофе мелача щаг1а чу а ваха, сааз а бийха, илли ала волавелар из.
