# RU	ING
И вот догоняет его всадник, – он смотрит – это Куршуд-бек.	ТТеханахьа — дувха манна сона декхарийла а ва хьо, яхаш.
«Добрый путь, – кричал ему бек, – куда бы ты ни шёл, странник, я твой товарищ»	А, барзкъаш т1ера д1а а даБха, наьк де са еза Магуль-Мегери, аз дагахьа цхьа волавелар Ашик.
не рад был Ашик своему товарищу – но нечего делать	Дехьаваьнначул — т1еч1оаг1о яьй: дунен т1а араваьнна лелаш хьаг1а юхахьежача — оввой
долго они шли вместе, – наконец завидели перед собою реку.	ма йоккха ворх1 шу а даккха
Ни моста, ни броду.	сайна рузкъа а гулде, © г1айг11а яр-кха1 ва низ кхоачаш вола цу гаьнарча яьссаленашка вала
«Плыви вперед, – сказал Куршуд-бек, – я за тобою последую».	цунна )ЕЬО даьла1— Куршуд-бек цун барзкъаш а раьза яле
Ашик сбросил верхнее платье и поплыл; переправившись, глядь назад – о горе1 о всемогущий аллах1	из ха яьлча са хургья хьо. — ийца хехка Гуржег1а юхавахар;
Куршуд-бек, взяв его одежды, ускакал обратно в Тифлиз, только пыль вилась за ним змеею по гладкому полю.	цхьабакъда
Прискакав в Тифлиз, несёт бек платье Ашик-Кериба к его старой матери: «Твой сын утонул в глубокой реке, – говорит он, – вот его одежда».	цо аьлар
В невыразимой тоске упала мать на одежды любимого сына и стала обливать их жаркими слезами	т1ехьа цу шаьрча ара
потом взяла их и понесла к наречённой невестке своей	б1ехал санна хьувцу Тайха диллаьча дийнахь хьо ща ца заш г1етташ бола дом мара х1ама гацар. воаг1е, — со Куршуд-бекага маьре г1оргья
«Мой сын утонул, – сказала она ей, – Куршуд-бек привёз его одежды; ты свободна».	Гуржег11а ше д1а ма кхаьчча а Ашик-Ке-` со еха Г]ВРТЗ дуккха ха а йолаш волча. риба барзкъаш а ийца, цун къаенна нана Чувера Ашик-кериб ший нана йолча, йолча вахар бек.
Магуль-Мегери улыбнулась и отвечала: «Не верь, это всё выдумки Куршуд-бека; прежде истечения семи лет никто не будет моим мужем».	„Хьа во1 кТоаргача хишийна наькъа цунга ловца а баккхий- ла ваха вёлар, — аьлар цо,— ераш да цун
Она взяла со стены свой сааз и спокойно начала петь любимую песню бедного Ашик-Кериба.	барзкъаш“.— Шийна дукха везаш волча ви1ий барзкъашта, дувца йиш йоацаш йолча йоккхача гГайг1анца Гют11аежа, ший б1аргех Гоуха д1айха хий легадир цо цар т1а.
Между тем странник пришёл бос и наг в одну деревню	Паккха уж барзкъаш а ийца, шИЙ нус Магуль-Мегери йолча яхар из.
добрые люди одели его и накормили	„Са во1 хила ваха веннав, — аьлар цо цунга, — Курщуд-бека ща денад цун барзкъаш
он за это пел им чудные песни	хьо мукъа я“.— Магуль-Мегере, ела а къежаь, аьлар:— “Теша ма тешалахь
таким образом переходил он из деревни в деревню, из города в город: и слава его разнеслась повсюду.	из деррига а Куршуд-бека шийгара дагалаьца х1ама да
Прибыл он наконец в Халаф ; по обыкновению взошёл в кофейный дом, спросил сааз и стал петь.	ворх1 шу даьнна даллалца цхьаккха саг а хургвац са мар.“— Пенах хьалъулла ший сааз хьа а ийца
В это время жил в Халафе паша , большой охотник до песельников	къеча Ашик-Кериба дукха дезаш хинна илли ала йолаелар из сатийнна. ‚° — Циггара ваьнна наькъахо кхаьчар
многих к нему приводили – ни один ему не понравился	дег1а та а когаш 11а а верзан а волаш
его чауши измучились, бегая по городу: вдруг, проходя мимо кофейного дома, слышат удивительный голос	цхьан юрта.
они туда.	Дикача наха барзкъа а дийхар цунна, кхаба а кхаьбар из, цудухьа цо царна тамашийна хоза иллеш доахар.
«Иди с нами, к великому паше, – закричали они, – или ты отвечаешь нам головою».	Иштта юртара-юрта а, городера-городе а водаш лелар из; массанахьа а гГорваьннавар из.
«Я человек вольный, странник из города Ага – господин.	Эггара т1ехьа а Халафе кхаьчар из.
Бек – властитель, князь, господин.	Массаза а ший Таьдал долчча бесса, кофе мелача щаг1а чу а ваха, сааз а бийха, илли ала волавелар из.
Тифлиза, – говорит Ашик-Кериб, – хочу пойду, хочу нет; пою, когда придется, – и ваш паша мне не начальник».	хана Халафе вахаш цхьа паша вар, илешта ч1оаг1а т1ера волаш.
Однако, несмотря на то, его схватили и привели к паше.	Дукха кхийлабар цунна т1а илли оалаш бола нах — царех цхьаккха а цунна везалацар.
«Пой», – сказал паша, и он запел.	Цун гулакхчаш ч1юаг1а эттабар городе г11олла идда.
И в этой песне он славил свою дорогую Магуль-Мегери; и эта песня так понравилась гордому паше, что он оставил у себя бедного Ашик-Кериба.	ШЩаьхха, кофе мелача щенна улув голла т1ехбоалаш царна хезар тамашийна 0а3.
Посыпалось к нему серебро и золото, заблистали на нём богатые одежды	„Волле тхоца воккха сийлахь паша волча, — аьнна, щ1ог11арч хьекхар цар, е хьай кертаца жоп лургда 1а тхона1"—Со кортамукъа саг ва
счастливо и весело стал жить Ашик-Кериб и сделался очень богат	Гуржег1е яхача городера воаг11аш наькъахо,— йоахар Ашик-Кериба.— Сай безам бий — воаг1аргва, беций — воаг1аргвац
забыл он свою Магуль-Мегери или нет, не знаю, только срок истекал, последний год скоро должен был кончиться, а он и не готовился к отъезду.	илла а оал ала дезача хана, х1аьта шун паша кхы сона тавиллаь а вац.— ХТаьта , а, из цо яххашехь а, катеха водаваь, паша волча вигар цар из.
выставь это блюдо в своей лавке и объяви везде	„Даала илли“, аьлар пашас,— укхо илли аьлар.
кто признается моему блюду хозяином и докажет это	Из илли сов чГоаг1а дезаденнача цу курача пашас ер къе Ашик-Кериб ше волча соцавир.
получит его и вдобавок вес его золотом».	Хьат1адоладелар цунна дошув а дотув а, къаьгар цунна т1ехь д1аьхи дувхар.
Отправился купец, везде исполнял поручение Магуль-Мегери, но никто не признался хозяином золотому блюду.	Иразе а сакъердаме а ваха волавелар — Ашик-Кериб, чТоаг1а в1аьхи а хилар из.
Уж он продал почти все свои товары и приехал с остальными в Халаф: объявил он везде поручение Магуль-Мегери.	цунна йицъеннай, йЙицъенная ц — сона хац, цхьабакъда, ха йистей оалаш-м латтар.
Услыхав это, Ашик-Кериб прибегает в караван-сарай: и видит золотое блюдо в лавке тифлизского купца.	Юххера шу йистедаладоаллаш дар, ©р х1аьта а ща ваха кийчлуш а вацар.
«Это моё», – сказал он, схватив его рукою.	Хоза Магуль-Мегери корзаг1ъяла йолаелар.
«Точно, твоё, – сказал купец, – я узнал тебя	Цу ханна, шийца шовзткъа — инкали везткъа лайи волаш Гуржег1ара кира ваха кийчлуш купец вар.
Ашик-Кериб: ступай же скорее в Тифлиз, твоя Магуль-Мегери велела тебе сказать, что срок истекает, и если ты не будешь в назначенный день, то она выйдет за другого».	цунга дошо оаркхилг делар Магуль-Мегере. “Д1аэца ер оаркхилг,— аьлар цо,— хье моллаг1ча городе кхоаче а
В отчаянии Ашик-Кериб схватил себя за голову: оставалось только три дни до рокового часа.	ер оарлхилг хьай тика чу хьал а оттадийя
Однако он сел на коня, взял с собою суму с золотыми монетами – и поскакал, не жалея коня	массанахьа а дакхайкаде
наконец измученный бегун упал бездыханный на Арзинган горе, что между Арзиньяном и Арзерумом.	ер ший хилар цунна хьахьокха а моге
Что ему было делать: от Арзиньяна до Тифлиза два месяца езды, а оставалось только два дня.	Вахар купец; МагульМегере шийна т1адиллаьр массанахьа а кхоачашдир цо, цхьабакъда, цхьаннахьа а дошоча оаркхилга да кораванзар.
«Аллах всемогущий, – воскликнул он, – если ты уж мне не поможешь, то мне нечего на земле делать».	Массанахьа а кхайкадир цо Магуль-Мегере шийна тадиллаьр.
И хочет он броситься с высокого утеса	Из хеза а хеза, ведда Ашик-Кериб кир латтача веча, цунна б1аргадайра Гуржег1арча купеца тика чу латташ дошо оаркхилг.
вдруг видит внизу человека на белом коне	„р са да1 —
и слышит громкий голос: «Оглан , что ты хочешь делать?» «Хочу умереть», – отвечал Ашик. – «Слезай же сюда, если так, я тебя убью».	аьлар цо, катеха из хьа а ийца.— Хьа да а да из, — аьлар купеца — сона вайзар хьо, Ашик-Кериб.
Ашик спустился кое-как с утёса.	хьа Магуль-Мегере хьога ала — аьннадар сога, ха йистейоалаш латт
«Ступай за мною», – сказал грозно всадник.	Тайха диллаьча дийнахь хьо ща ца кхоаче, ше кхычунга маьре йода, аьнна.
«Как я могу за тобою следовать, – отвечал Ашик, – твой конь летит, как ветер, а я отягощён сумою».	Корзаг1а а ваьнна кертах кулгаш хьалтехар .
«Правда, повесь же суму свою на седло моё и следуй», – отстал Ашик-Кериб, как ни старался бежать.	ЖГаьта а, говра та а хайна, шийца дошоча ахчан т1орми а ийца, говр кхо ца еш, д'1аийккхар из.
«Что ж ты отстаёшь», – спросил всадник.	Эггара т1ехьа а сов чЧ1оаг1а — хийхка са а хаьда
«Как же я могу следовать за тобою	Арзиньянаи — Арзерумаи юкъерча Арзинган-лоам та Токхийт- хьо?“ — „Вала безам болаш ва,“— аьнна та елар говр.
твой конь быстрее мысли	Х1анз фу дергда цо? жоп делар Ашика.— „ТокГалвала — х1аьта Арзиньянера Гуржег1а шин бетта бах- уккхаза
а я уж измучен». – «Правда	ишта дале, аз вувргва хьо.“ хьал никъ ба, юхедисар ши ди мара дац.
садись же сзади на коня моего и говори всю правду	Ашик халла |окГалваьлар лоамах.
куда тебе нужно ехать». – «Хоть бы в Арзерум поспеть нынче», – отвечал Ашик.	укх лаьтта кхы дё х[ама дац _ т1ехьа, — аьнна жоп делар Ашика,— хьа са1* Лакхача лоамах ахка ваха безам і ды мух мо масса бода
«Закрой же глаза».	х1аьта со е;
Он закрыл.	т10рхилар цун.
«Теперь открой».	Шаьхха Точухьежача
Смотрит Ашик: перед ним белеют Керван – караван.	воалац.— „Бакълув: из сирача дына т1аваг1аш цхьа саг а б11ар- хьай т1юрми са — нуврах Хьа а `элле гавайра цунна
Оглан – сын. стены и блещут минареты Арзрума.	цо теха ч1оаг1/а щог1а а волле сона тГехьа“.
«Виноват, Ага, – сказал Ашик, – я ошибся, я хотел сказать, что мне надо в Карс.	Мелла ада гіийр: хезар: „Ог1лан
«То-то же, – отвечал всадник, – я предупредил тебя, чтоб ты говорил мне сущую правду; закрой же опять глаза, – теперь открой».	„ТГехьа *) Ог1лан — з1амига саг (
Ашик себе не верит: то, что это Карс.	Х|ана Вус ХЬО?"' Н хаьттар Цунга
Он упал на колени и сказал: «Виноват	баьречо, — „Мишта кхув со хьона тГехьа: хьа ды уйлал а массаг1а ба, х1аьта со ч1оаг1а этта ва.—-,„Бакълув
Ага, трижды виноват твой слуга Ашик-Кериб: но ты сам знаешь, что если человек решился лгать с утра, то должен лгать до конца дня: мне по-настоящему надо в Тифлиз».	са говра хьат1ехьашка а хайя, долчча бесса’бакъдар хьаала: мича ваха веза хьа?“— „Тахан Арзеруме: кхоачаре а тоъаргвар,“ — аьлар Ашика.
«Экой ты, неверный, – сказал сердито всадник, – но нечего делать: прощаю тебе – закрой же глаза.	„ДТав1ашта дахка бТаргаш.* Укхо д1ав1ашта дехкар.
Теперь открой», – прибавил он по прошествии минуты.	„ХГанз хьалакха“.
Ашик вскрикнул от радости: они были у ворот Тифлиза.	Ашик д1ахьежача: цунна хьалхашка дар Арзерума кТай пенаши къегаш дола цун мимараши.— Бехке ва со
Принеся искреннюю свою благодарность и взяв свою суму с седла	Аг1а, — г1алат ваьннав со, со веннавар Къарсе‘ваха веза са ала,— „Из да-кх дош, — аьлар баьречо,— аз хьалххе а д1а ма аьннадарий хьога, щена бакъдар алалахь сога, аьнна
Ашик-Кериб сказал всаднику: «Ага, конечно, благодеяние твоё велико, но сделай ещё больше	юха а д1ав1ашта дахка бТаргаш.
если я теперь буду рассказывать, что в один день поспел из Арзиньяна в Тифлиз, мне никто не поверит	Х1анз хьалакха“.
дай мне какое-нибудь доказательство».	Ашик шийх а‘тешац, из Къарсе я, аьнна.
«Наклонись, – сказал тот	Тогора а вежа, аьлар цо:— „Бехке ва со
улыбнувшись, – и возьми из- под копыта коня комок земли и положи себе за пазуху: и тогда если не станут верить истине слов твоих	Агп1а, кхозза бехке ва хьа г1улакхча Ашик-Кериб
то вели к себе привести слепую	цхьабакъда, хьона хьайна ма хой
которая семь лет уж в этом положении, – помажь ей глаза – и она увидит».	Турра денз харцле лаьрх1а вола саг, сарралца харцле везалга.
Ашик взял кусок земли из-под копыта белого коня, но только он поднял голову, всадник и конь исчезли	Бокъонцадар аьлча, са Гуржег1а ваха ма везар“.—“Даьллахьий ма харц лувш саг ва хьо1— аьлар щимхара ` баьречо, — х1аьта а, де х1ама дац, аз гешт ду хьона.
тогда он убедился в душе, что его покровитель был не кто иной, как Хадерилиаз (св.	Д1ав1ашта дахка б1ар-
Георгий) 12 .	х1анз хьалакха“,— аьлар цо цхьа кулгаца ни1 еттар цо: „Ана
Только поздно вечером Ашик-Кериб отыскал дом свой: стучит он в двери дрожащею рукою, говоря: «Ана, ана (мать), отвори: я божий гость: и холоден, и голоден	хьаеминут яьннача гТолла.— Сов гГадвахача лла ни11 со даьла хьаша ва
прошу, ради странствующего твоего сына, впусти меня».	шийла а Ашикага щЩюг11а ийккхар: ГуржегТен на1а- меца а волаш
Слабый голос старухи отвечал ему: «Для ночлега путников есть дома богатых и сильных: есть теперь в городе свадьбы – ступай туда	хьай наькъа араваьнна рашта юххе бар уж.
там можешь провести ночь в удовольствии».	ЧТоага дег тТера лелача ви1ий духьа чувита со“.
«Ана, – отвечал он, – я здесь никого знакомых не имею и потому повторяю мою просьбу: ради странствующего твоего сына впусти меня».	Иоккхабаркал а аьнна, нувра т1ара ший т1юрми ча сега г1ийлача ашаро юха жоп делар хьа а ийца, ' Ашик-Кериба аьлар баьре- цунна: „Наькъахошта бийса яккха щ1ечунга: — “Аг1а
Тогда сестра его говорит матери: «Мать, я встану и отворю ему двери».	Та даьр, дувца хабар доа- нош да б1аьхибарий, низбарий
«Негодная, – отвечала старуха, – ты рада принимать молодых людей и угощать их, потому что вот уже семь лет, как я от слёз потеряла зрение».	х1анз гоцаш, доккха дика да, цхьабакъда, кхы роде ловзараш да
не внимая её упрекам	цига г11о хьайна1
отперла двери и впустила Ашик-Кериба: сказав обычное приветствие	Цига а доккхаг11а хилийта из
он сел и с тайным волнением стал осматриваться: и видит он на стене висит в пыльном чехле его сладкозвучный сааз.	нагахьа санна бийса сакъердаме дГахьоргья [а хьайхГанз аз Арзиньянара цхьан дийнахь Гур- на“, — „Ана, — аьлар цо, — укхаза сона жег1а венав со аьлча
И стал он спрашивать у матери: «Что висит у тебя на стене?» «Любопытный ты гость, – отвечала она, – будет и того	сох цхьаккха саг бовзаш нах а бац
что тебе дадут кусок хлеба и завтра отпустят тебя с богом».	цудухьа щаькха а тешаргвац: моллаг1а яйя а цхьа белгало дехар ду аз хьога: хьай наькЪа араваьня сона“. — „1оверза, — аьлар вакхо
«Я уж сказал тебе	вела на лелача ви1ий духьа чувиталахь со1* а къажаь, — дына барга к1алхара лаьттан "Таккха цун йишас аьлар наьнага: „Нана
возразил он	гарза хьа а ийце
что ты моя родная мать	хьай че йолла
а это сестра моя	хьай аз хьал а гГаттаь на1араш хьаелларгья бакъдолча дешаех нах ца тешаш хуле
и потому прошу объяснить мне	цунна“. б1аргаш дайна ворх1 шу долаш вола саг — „Тоалув я11— аьлар йоккхача сахьа а воалавайте
что это висит на стене?» «Это сааз	цунна б1аргах хьакха а
сааз», – отвечала старуха сердито	го, — кагий нах чу а ийбеш
не веря ему.	царна гТутТаккха из х1ама гуш хургва“.
«А что значит сааз?» «Сааз то значит: что на нём играют и поют песни».	Сирача дына лакхаш де раьза Йолаш я хьо, хТана барга к1алхара лаьттан гарза хьалъийцар ЗНОЧ, ворбх[і Н дЬДЕЬННЁд ы 6108„ ле Ашика
И просит Ашик-Кериб, чтоб она позволила сестре снять сааз и показать ему.	цхьабакъда
Смешение Хадерилиаза со святым Георгием встречается в армянском и грузинском фольклоре.	цо корта хьалъай- НИКа
«Нельзя, – отвечала старуха, – это сааз моего несчастного сына, вот уже семь лет он висит на стене, и ничья живая рука до него не дотрогивалась».	оООО АИЕВ ВОРатя б б й 8 Х1аьта а Йо1о
Но сестра его встала, сняла со стены сааз и отдала ему: тогда он поднял глаза к небу и сотворил такую молитву: «О всемогущий аллах1	цо шийна еча 1Тувттарашешшехь а, — баьрии дыи къайлалийлхар. ка ла а ца дувг1аш
Если я должен достигнуть до желаемой цели, то мой семиструнный сааз будет так же стройна, как в тот день, когда я в последний раз играл на ней».	хьал а гаттаь
И он ударил по медным струнам, и струны согласно заговорили	Таккха ший дагахь соцадир цо, из ший- — } хьа а йийлла, чувитар Ашик-Кериб.
и он начал петь: «Я бедный Кериб (нищий) – и слова мои бедны	Вала на г1о даьр Хадерилиаз вар, аьнна. веззача бесса моаршалца щаг1а д1ачу а Геттара садайначул т1ехьаг1а хьалехар Ашик-Кериба ший щ1а.
но великий Хадерилияз помог мне спуститься с крутого утёса, хотя я беден и бедны слова мои.	ваьнна, шийна чухь сатем боаццаш д1а- хьал а хьажаь дуТа дир цо: „Ва низ кхоачаш са хьежа ваьлар из.
Узнай меня, мать, своего странника».	Цунна б1аргабайра: вола Аллах11 сайна дага латтар са кхоапенах хьалъуллаш
После этого мать его зарыдала и спрашивает его: «Как тебя зовут?» «Рашид» (храбрый), – отвечал он.	дом т1абиллаьча бет- чаш хургдале
«Раз говори, другой раз слушай, Рашид, – сказала она, – своими речами ты изрезал сердце моё в куски.	са ворх1 пха бола сааз та чу а боаллаш
Нынешнюю ночь я во сне видела, что на голове моей волосы побелели, – а вот уж семь лет я ослепла от слёз	мерза ‚йиш йоаг1аш аз ший юххерча дийнахь йиш локхаш бола ший сааз
скажи мне ты, который имеешь его голос, когда мой сын придёт?» И дважды со слезами она повторила ему просьбу.	т1аккха наьнага хетта санна тайна хилийталахь1“ — Из а аьнна
Напрасно он называл себя её сыном	ваьлар: „Фуй’ хьа из пенах хьалъул- цун геза пхаьнех ш1елг техар цо
но она не верила	таклар?“— „Хьайга ца кхоачар дувцаш хьа- кха цар цунна хеттача бесса йиш лекхар
и спустя несколько времени просит он: «Позвольте	ша ва хьо,— аьлар цо, — тоъаргда хьона
взять сааз и идти	тГаккха илли аьлар цо: „Со къе Кеяа маькха ч1егилг а лургья хьона
я слышал	кхоана риб — „Аз ма аьннадий хъьога — сона лакхача лоамах ГокТалвала
здесь близко есть свадьба: сестра меня проводит	со къе аьнна духьалваьлар из,—-хьо со ваь са вале а
я буду петь и играть, и всё, что получу, принесу сюда и разделю с вами».	са дешаш къе дале а.
«Не позволю, – отвечала старуха, – с тех пор, как нет моего сына, его сааз не выходил из дому».	Со вовза нана а я, эр са йиша а я, цудухьа аз де- хьайна, нана, хьай наькъахо“
Но он стал клясться, что не повредит ни одной струны.	Цул т1ехьаХар ду хьога
«А если хоть одна струна порвётся, – продолжал Ашик, – то отвечаю моим имуществом».	из хьай пенах хьалъуллар г[а цун нанас
Старуха ощупала его сумы и, узнав, что они наполнены монетами, отпустила его	ч1оаг1а Ййийлха а Йийлха
проводив его до богатого дома, где шумел свадебный пир, сестра осталась у дверей слушать, что будет.	фуй 1а хьаалар“.—“Из сааз ба
В этом доме жила Магуль-Мегери, и в эту ночь она должна была сделаться женою Куршуд-бека.	сааз“ — хаьттар цунга:—“Щи фуй хьа?,— „Рааьлар йоккхача саго эг1аз а яха
Куршуд-бек пировал с родными и друзьями	цунах шид я“ — аьлар цо.—Цкъа къамаьл де
а Магуль-Мегери	теша а ца тешаш.— “Из фуй сааз яхар?
сидя за богатою чапрой (занавес) с своими подругами	„ — т1аккха ладувг1а
держала в одной руке чашу с ядом	Рашид,— аьлар цо,— “Сааз я — илли локхаш, илли оалаш хьай къамаьлашца са дог ч1егилгаш йола х1ама“.— Дехар дир Ашик-Кериба а йоахаш тийдар а.
а в другой острый кинжал: она поклялась умереть прежде	Сувсара гТанакхейЙишийга хьа а эцийте, шийга хьахьок- лахь дайнадар сона, сай корта кТайбенхийта из сааз, аьнна.— “Ииш яц — аьлар на
чем опустит голову на ложе Куршуд-бека.	х11анз ворх1 шу дизад сов дукха Йийлйоккхача саго.—— Из сааз са ираз доацаш ха са б1аргаш ‘дайна
И слышит она из-за чапры	са ви1ий яр санна волча ви1ий ба
что пришел незнакомец	х1анз ворх1 шу даьннад
который говорил: «Селям алейкюм: вы здесь веселитесь и пируете	оаз йолаш волча 1а ала сога
так позвольте мне	са во1 ща дийнача сега кулг д1а ца кхеташ из цу маца воаг1аргва? “ — Б1аргех хий а ухаш
бедному страннику	пенах хьалъулла“.-—— Хаьта а йишас хьал шозза кхы а дир цо цунга из дехар. а гТаттаь
сесть с вами	пенах хьалъуллачара хьа а ийца
и за то я спою вам песню».	д1абелар цунга из сааз.
«Почему же нет, – сказал Куршуд-бек. – Сюда должны быть впускаемы песельники и плясуны, потому что здесь свадьба: спой же что-нибудь	Т1аккха сигленга * Кериб — наькъахо,
Ашик (певец), и я отпущу тебя с полной горстью золота».	Мелла ше цун во1 ва укхо яьхача а, тешанзар из укхунах.
Тогда Куршуд-бек спросил его: «А как тебя зовут, путник?» – «Шинди-гёрурсез (скоро узнаете)».	КТеззига ха яьннача г1олла, дийхар цо: „Нана, из пандар а ийце вахийта со, уккхаза, гаьна доаццаш ловзар да аьнна хезад сона
«Что это за имя, – воскликнул тот со смехом. – Я в первый раз такое слышу1»...	йишас д1авугарвар со
После этого он взял сааз и начал петь.	цигара айса даьккхар уккхаза хьачу а дахьаргдар аз
«В городе Халафе я пил мисирское вино, но бог мне дал крылья, и я прилетел сюда в три дни».	шуца декъарг а дар аз“.— Бохьийтаргбац,— аьлар Йоккхача саго,— са во1 д1аваьлча гГоне денз
Чапра – занавес.	цун сааз щаг1ара арабаьннабац“.— ХМаьта а ер дув баа волавелар
Брат Куршуд-бека, человек малоумный, выхватил кинжал, воскликнув: «Ты лжёшь; как можно из Халафа приехать сюда в три дни?	цхьакка а пханна зеё дерг ма дац ше
«За что ж ты меня хочешь убить, – сказал Ашик, – певцы обыкновенно со всех четырёх сторон собираются в одно место	яхаш.— „Хаьта нагахьа санна царех цхьа пха хаде а, — аьлар д11ахо Ашика
и я с вас ничего не беру	се да волаш дола рузкъа д1алург мад аз цунах“. — Иоккхача саго укхун тЮюрмех кулг а теха
верьте мне или не верьте». – Пускай продолжает, – сказал жених	д1абахьийтар пандар.
и Ашик-Кериб запел снова: «Утренний намаз творил я в Арзиньянской долине	Доккхача татаца ловзари хьоалчаг11еи даь долча, д1аьхийча щенга кхаччалца из д1анакъа а ваьккха, на1арга юхасецар йиша,` цига фу хул хьажа, ладувг1а.
полуденный намаз в городе Арзруме	Куршуд-бек ший гаргарча нахацеи доттаг1ашцеи дика хьегаш вар, х1аьта Ма22,
пред захождением солнца творил намаз в городе Карсе, а вечерний намаз в Тифлизе.	хийтта хиннад: во1 веннав цунна, й01 еннай цунна дала?— яхаш.
